index,nodeid,testname,iodepth,device,count,mean_mean,mean_min,stdev_mean,stdev_max,disk_type,disk_name,disk_model,units
9596,ms0727,read,1,/dev/sda2,89,75355.6921348,71144.6,1900.31236384,17002.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8824,ms0321,randread,1,/dev/sda2,89,74389.3067416,73611.3,36675.3883073,37015.1,SSD,/dev/sda,XR0120GEBLT,KB/s
8825,ms0321,randread,4096,/dev/sda2,89,98770.8865169,91462.2,63028.7267142,65560.4,SSD,/dev/sda,XR0120GEBLT,KB/s
8826,ms0321,randwrite,1,/dev/sda2,89,1951.5805618,1942.13,12.0985472163,23.2631,SSD,/dev/sda,XR0120GEBLT,KB/s
9592,ms0727,randread,1,/dev/sda2,89,74384.3258427,73637.6,36669.9966882,37033.4,SSD,/dev/sda,XR0120GEBLT,KB/s
8828,ms0321,read,1,/dev/sda2,89,75291.1483146,70876.2,3178.27609409,17091.7,SSD,/dev/sda,XR0120GEBLT,KB/s
9599,ms0727,write,4096,/dev/sda2,89,119311.786517,116682.0,3963.16974824,14259.4,SSD,/dev/sda,XR0120GEBLT,KB/s
8831,ms0321,write,4096,/dev/sda2,89,118967.910112,118326.0,1774.0534262,3065.7,SSD,/dev/sda,XR0120GEBLT,KB/s
9597,ms0727,read,4096,/dev/sda2,89,190938.168539,170940.0,2544.17471319,3885.68,SSD,/dev/sda,XR0120GEBLT,KB/s
9598,ms0727,write,1,/dev/sda2,89,1968.35955056,1962.52,13.1508560112,36.5532,SSD,/dev/sda,XR0120GEBLT,KB/s
8829,ms0321,read,4096,/dev/sda2,89,194662.370787,190803.0,2039.06035478,3828.57,SSD,/dev/sda,XR0120GEBLT,KB/s
4458,c220g2-011311,write,1,/dev/sda4,83,88454.9807229,81480.2,3245.16561609,6589.51,HDD,/dev/sda,HUC101212CSS600,KB/s
4454,c220g2-011311,read,1,/dev/sdc,83,87416.5096386,56091.8,1993.14292874,6690.07,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4455,c220g2-011311,read,4096,/dev/sda4,83,178664.795181,174756.0,7996.06709145,17572.9,HDD,/dev/sda,HUC101212CSS600,KB/s
4456,c220g2-011311,read,4096,/dev/sdb,83,179567.168675,168840.0,7792.28003646,16991.5,HDD,/dev/sdb,HUC101212CSS600,KB/s
4457,c220g2-011311,read,4096,/dev/sdc,83,494722.855422,478702.0,3689.69291504,10639.9,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4460,c220g2-011311,write,1,/dev/sdc,83,79037.6156627,54425.4,1109.53282217,2122.96,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4459,c220g2-011311,write,1,/dev/sdb,83,89656.9638554,77100.9,2429.80191459,14514.7,HDD,/dev/sdb,HUC101212CSS600,KB/s
4452,c220g2-011311,read,1,/dev/sda4,83,107534.801205,96152.4,3179.83897506,8646.58,HDD,/dev/sda,HUC101212CSS600,KB/s
4461,c220g2-011311,write,4096,/dev/sda4,83,181034.819277,177946.0,14572.6316837,18909.6,HDD,/dev/sda,HUC101212CSS600,KB/s
4462,c220g2-011311,write,4096,/dev/sdb,83,184174.180723,176730.0,8568.63495324,18514.1,HDD,/dev/sdb,HUC101212CSS600,KB/s
4463,c220g2-011311,write,4096,/dev/sdc,83,450402.204819,433948.0,25458.2183302,30535.0,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4453,c220g2-011311,read,1,/dev/sdb,83,108624.946988,96140.0,3032.3312451,9271.72,HDD,/dev/sdb,HUC101212CSS600,KB/s
4450,c220g2-011311,randwrite,4096,/dev/sdb,83,2744.62096386,2707.1,135.013023186,166.101,HDD,/dev/sdb,HUC101212CSS600,KB/s
4451,c220g2-011311,randwrite,4096,/dev/sdc,83,233206.228916,230606.0,4547.45668734,5373.3,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4449,c220g2-011311,randwrite,4096,/dev/sda4,83,2636.83915663,2598.35,148.854602529,177.414,HDD,/dev/sda,HUC101212CSS600,KB/s
4448,c220g2-011311,randwrite,1,/dev/sdc,83,80997.5072289,68210.8,1524.09731674,3054.67,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4447,c220g2-011311,randwrite,1,/dev/sdb,83,2451.54481928,2251.81,163.306907386,301.643,HDD,/dev/sdb,HUC101212CSS600,KB/s
4446,c220g2-011311,randwrite,1,/dev/sda4,83,2397.01638554,2207.09,139.88804482,281.045,HDD,/dev/sda,HUC101212CSS600,KB/s
4445,c220g2-011311,randread,4096,/dev/sdc,83,305609.783133,305320.0,4398.75425338,4542.78,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4444,c220g2-011311,randread,4096,/dev/sdb,83,3054.22048193,2985.58,135.976388631,147.295,HDD,/dev/sdb,HUC101212CSS600,KB/s
4443,c220g2-011311,randread,4096,/dev/sda4,83,2755.26554217,2669.85,144.544618523,177.929,HDD,/dev/sda,HUC101212CSS600,KB/s
4441,c220g2-011311,randread,1,/dev/sdb,83,938.332783133,934.147,38.7946247324,51.7599,HDD,/dev/sdb,HUC101212CSS600,KB/s
4440,c220g2-011311,randread,1,/dev/sda4,83,938.534493976,935.599,38.3852662666,49.5273,HDD,/dev/sda,HUC101212CSS600,KB/s
4442,c220g2-011311,randread,1,/dev/sdc,83,30556.4903614,23319.9,451.240919642,1893.54,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4368,c220g2-011308,randread,1,/dev/sda4,80,936.9897875,933.756,37.7541786564,48.9848,HDD,/dev/sda,HUC101212CSS600,KB/s
4371,c220g2-011308,randread,4096,/dev/sda4,80,2961.069,2930.38,141.531490395,158.911,HDD,/dev/sda,HUC101212CSS600,KB/s
4370,c220g2-011308,randread,1,/dev/sdc,80,30409.66875,23663.1,701.474729978,2935.52,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4375,c220g2-011308,randwrite,1,/dev/sdb,80,2471.044875,2269.15,105.224168515,273.148,HDD,/dev/sdb,HUC101212CSS600,KB/s
4382,c220g2-011308,read,1,/dev/sdc,80,87760.91375,66764.3,2033.00229012,8121.98,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4369,c220g2-011308,randread,1,/dev/sdb,80,935.2570875,929.595,38.1936902262,52.7049,HDD,/dev/sdb,HUC101212CSS600,KB/s
4380,c220g2-011308,read,1,/dev/sda4,80,107321.0425,96287.7,3053.71478622,5263.26,HDD,/dev/sda,HUC101212CSS600,KB/s
4379,c220g2-011308,randwrite,4096,/dev/sdc,80,232360.875,230461.0,4507.08074803,5776.9,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4378,c220g2-011308,randwrite,4096,/dev/sdb,80,2673.84125,2657.12,133.668895385,161.61,HDD,/dev/sdb,HUC101212CSS600,KB/s
4377,c220g2-011308,randwrite,4096,/dev/sda4,80,2664.771125,2642.04,148.619626739,176.107,HDD,/dev/sda,HUC101212CSS600,KB/s
4376,c220g2-011308,randwrite,1,/dev/sdc,80,79970.6025,69180.9,1279.8349974,2202.89,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4374,c220g2-011308,randwrite,1,/dev/sda4,80,2427.742625,2225.08,147.262328696,294.093,HDD,/dev/sda,HUC101212CSS600,KB/s
4373,c220g2-011308,randread,4096,/dev/sdc,80,305604.725,305092.0,4384.18446629,4594.89,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4381,c220g2-011308,read,1,/dev/sdb,80,108070.08,89790.8,3118.60871787,6518.83,HDD,/dev/sdb,HUC101212CSS600,KB/s
4372,c220g2-011308,randread,4096,/dev/sdb,80,2971.483125,2944.57,144.562858787,155.913,HDD,/dev/sdb,HUC101212CSS600,KB/s
4383,c220g2-011308,read,4096,/dev/sda4,80,175218.8125,162354.0,16179.538427,29293.1,HDD,/dev/sda,HUC101212CSS600,KB/s
4384,c220g2-011308,read,4096,/dev/sdb,80,171328.925,168462.0,12848.6381658,14704.3,HDD,/dev/sdb,HUC101212CSS600,KB/s
4385,c220g2-011308,read,4096,/dev/sdc,80,494767.125,477496.0,3466.49878762,10487.5,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4386,c220g2-011308,write,1,/dev/sda4,80,87539.125,75247.5,3800.11512395,11033.7,HDD,/dev/sda,HUC101212CSS600,KB/s
4387,c220g2-011308,write,1,/dev/sdb,80,89560.97375,78807.9,2089.2113989,4547.58,HDD,/dev/sdb,HUC101212CSS600,KB/s
4388,c220g2-011308,write,1,/dev/sdc,80,79304.84625,67772.0,1228.51772811,4072.23,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4389,c220g2-011308,write,4096,/dev/sda4,80,182212.05,177635.0,15461.9117554,18131.8,HDD,/dev/sda,HUC101212CSS600,KB/s
